iter	RMSE
0	1540.852729
1	1120.188844
2	856.0391455
3	682.752046
4	559.1234196
5	479.2553858
6	427.5458441
7	391.3899058
8	369.5991026
9	352.6014333
10	340.3782685
11	326.0401354
12	313.053411
13	300.0090188
14	287.4344777
15	281.7752043
16	276.7278561
17	269.2306347
18	261.3783596
19	253.0585343
20	245.5792689
21	236.9060407
22	232.3957682
23	225.7684634
24	219.7641451
25	212.6934978
26	206.7770438
27	201.30162
28	195.4413531
29	191.3718183
30	188.9765551
31	183.1592047
32	178.6099854
33	174.7679131
34	171.4823932
35	167.1100761
36	163.2045571
37	160.2514166
38	156.5683917
39	154.9645374
40	150.7340391
41	148.231874
42	145.9984556
43	143.5733001
44	140.5787966
45	138.0290042
46	136.2832891
47	134.1547314
48	131.7841816
49	130.2495645
50	128.010714
51	125.1223893
52	123.7718042
53	121.7966334
54	120.7206888
55	119.321947
56	117.0033339
57	115.9507287
58	114.2167369
59	112.8014913
60	111.1237688
61	110.0986502
62	109.5655009
63	108.2700222
64	106.5091334
65	105.2279843
66	103.5878347
67	102.1629369
68	100.7074783
69	99.85849444
70	98.25599826
71	96.96049091
72	95.91280605
73	95.22718463
74	94.43975782
75	93.21695593
76	92.85870532
