iter	Passed	Remaining
0	16	2425
1	24	1809
2	32	1607
3	39	1428
4	45	1328
5	51	1232
6	56	1155
7	61	1095
8	66	1037
9	70	992
10	75	952
11	79	913
12	83	884
13	88	855
14	92	831
15	96	808
16	100	788
17	105	773
18	109	755
19	113	738
20	117	723
21	121	709
22	126	696
23	130	683
24	134	671
25	138	660
26	142	649
27	146	639
28	150	629
29	155	620
30	159	613
31	163	604
32	168	596
33	173	592
34	178	585
35	182	577
36	188	575
37	192	567
38	196	560
39	201	554
40	206	547
41	210	540
42	214	533
43	219	527
44	223	520
45	227	514
46	232	508
47	236	502
48	240	496
49	245	490
50	250	485
51	254	479
52	258	473
53	264	469
54	268	464
55	273	458
56	277	452
57	282	447
58	286	441
59	290	436
60	295	430
61	299	425
62	303	419
63	308	414
64	313	409
65	317	404
66	321	398
67	334	403
68	341	400
69	345	395
70	350	389
71	354	383
72	358	378
73	362	372
74	367	367
75	371	361
76	375	355
